controller,demand,seed,vehicles_loaded,vehicles_arrived,clearing_time,mean_delay,p95_delay,stops_per_vehicle,mean_stopped_time,conflicts_blocked,peds_served,ped_mean_wait,ped_p95_wait
Semi-actuated,2000,2,2055,2055,4154.5,85.90297365579599,275.14028776978415,15.205839416058394,28.568613138686132,0,726,12.775988216497534,36.82964230732978
Semi-actuated,2000,3,2000,2000,3766.0,100.71580622529022,292.64028776978415,18.7095,36.385,0,779,13.39458444823744,35.427812059276334
Semi-actuated,2000,4,2083,2083,4099.5,87.56946559631524,287.14028776978415,15.70427268362938,30.58473355736918,0,693,11.978871715920539,32.762510596598304
Semi-actuated,2000,5,2057,2057,4000.5,94.94593554813622,292.14028776978415,17.373845405930968,34.36849781234808,0,758,12.31100543256759,36.72193508073315
Semi-actuated,2000,6,2004,2004,3886.0,88.67749040773826,288.2517985611511,16.052395209580837,30.97430139720559,0,698,13.015952970469954,34.294905479374734
Semi-actuated,2000,7,1973,1973,3717.5,93.71039820518203,305.14028776978415,17.273188038520022,33.704004054738974,0,706,12.594648081610893,35.92086434005432
Semi-actuated,2000,8,1986,1986,4051.0,87.44675082176425,290.7517985611511,15.827291037260826,30.118831822759315,0,718,12.042366681229312,34.52934236319231
Semi-actuated,2500,1,2573,2573,5110.0,89.4579899950167,290.4189189189189,16.00505246793626,29.582588418188884,0,751,13.359841069133795,37.42998896832614
Semi-actuated,2500,2,2480,2480,4784.5,90.18911065567798,289.2517985611511,16.203225806451613,31.724596774193547,0,726,12.954362872144912,36.367595750630926
Semi-actuated,2500,3,2525,2525,4937.5,90.76139960175337,282.64028776978415,16.1829702970297,30.113465346534653,0,779,13.886240417428706,36.60455484536578
Semi-actuated,2500,4,2510,2510,4866.5,92.77265555704508,294.14028776978415,16.81593625498008,31.297410358565738,0,693,13.104412841461668,35.548811834527896
Semi-actuated,2500,5,2561,2561,4993.0,91.9283328764032,286.64028776978415,16.61382272549785,31.64564623194065,0,758,12.72525345367577,34.83024601466832
Semi-actuated,2500,6,2506,2506,4846.5,88.83403418547734,284.7517985611511,15.791300877893057,30.610135674381485,0,698,12.493030334366807,33.015397862224745
Semi-actuated,2500,7,2518,2518,4623.5,94.02850986282681,299.14028776978415,17.18467037331215,33.6840746624305,0,706,13.090398789826196,36.18962561406374
Semi-actuated,2500,8,2515,2515,4900.5,88.34877938281292,292.64028776978415,16.024254473161033,29.404771371769385,0,718,11.889859717441011,32.77631400803875
Semi-actuated,3000,1,3110,3110,6058.5,93.82476557382772,289.7517985611511,16.828938906752413,31.165112540192926,0,751,13.004980882715685,35.269788356199115
Semi-actuated,3000,2,3032,3032,5964.5,92.8467642487309,299.7517985611511,17.030013192612138,32.37862796833773,0,726,13.008081880409375,35.1727386706043
Semi-actuated,3000,3,3010,3010,5712.5,91.91782890828424,284.14028776978415,16.76279069767442,30.31544850498339,0,779,12.729629377634101,34.22574542728853
Semi-actuated,3000,4,3079,3079,5785.0,90.0318810671295,281.2517985611511,16.095160766482625,29.840207859694708,0,693,12.781180518229345,35.35110803265684
Semi-actuated,3000,5,3105,3105,5649.0,94.33714043519092,291.14028776978415,17.20547504025765,32.616425120772945,0,758,12.737786435206113,34.03126626037829
Semi-actuated,3000,6,3036,3036,5737.5,89.63896658551849,286.93693693693695,15.93840579710145,30.194005270092227,0,698,12.95578105069918,34.38390741384342
Semi-actuated,3000,7,2895,2895,5379.5,93.46844546488614,301.2517985611511,17.09015544041451,33.733506044905006,0,706,13.126517769996168,36.237505266317385
Semi-actuated,3000,8,2985,2985,5578.0,90.74002215584629,286.2517985611511,16.34706867671692,30.488442211055276,0,718,12.535402892928477,34.615278608015615
